zipcode,mean_income_2011,mean_income_2015,income_roc,median_rent_2011,median_rent_2015,rent_roc
10471,104139,105625,0.014269389949970712,1206,1488,0.23383084577114427
10470,65451,70509,0.07727918595590594,1111,1258,0.1323132313231323
10473,54715,51802,-0.05323951384446678,775,890,0.14838709677419354
10472,43420,41909,-0.034799631506218336,967,1065,0.10134436401240951
11691,54866,55708,0.01534648051616666,956,1074,0.12343096234309624
11361,86871,93310,0.0741213983953218,1449,1659,0.14492753623188406
11226,50667,58646,0.15747922711034795,1065,1197,0.12394366197183099
10075,187860,205405,0.09339401682103694,1743,1999,0.14687320711417096
10466,56838,56348,-0.008620992997642423,1048,1138,0.08587786259541985
10467,46481,46518,0.0007960241819237968,1018,1140,0.11984282907662082
10464,81856,90671,0.10768911258795934,1178,1365,0.15874363327674024
10465,77952,85312,0.09441707717569786,1142,1259,0.10245183887915937
10462,52056,57940,0.11303211925618564,1102,1210,0.09800362976406533
10463,72426,80384,0.10987766824068705,1063,1191,0.12041392285983067
10460,35187,35624,0.012419359422513997,918,951,0.03594771241830065
10461,63417,68790,0.0847249160319788,1117,1244,0.11369740376007162
10468,42329,44912,0.06102199437737721,1026,1148,0.1189083820662768
10469,69155,70069,0.013216687152049744,1131,1261,0.11494252873563218
11411,94772,93447,-0.013980922635377537,1212,1377,0.13613861386138615
11412,79251,82631,0.04264930410972732,1129,1278,0.13197519929140833
11413,87032,92538,0.06326408677268132,1443,1502,0.040887040887040885
11414,82914,88917,0.07240031840219988,1311,1514,0.15484363081617086
11415,71931,80334,0.11682028610751971,1221,1397,0.14414414414414414
11416,67401,72849,0.0808296612809899,1337,1355,0.013462976813762155
11417,72424,79020,0.09107478184027394,1250,1334,0.0672
11418,70077,73486,0.04864648886225152,1207,1357,0.12427506213753108
11419,68729,73064,0.06307381163700912,1296,1366,0.05401234567901234
11367,69054,73718,0.06754134445506416,1100,1238,0.12545454545454546
11373,59333,62616,0.05533177152680633,1260,1373,0.08968253968253968
